ObjectID,Dimension_1,Dimension_2,Dimension_3,Dimension_4,Dimension_5,Dimension_6,Dimension_7,Dimension_8
4,0.1805504057459074,0.5708225352360697,0.8945572785107975,0.7777952492190214,0.17940067187712727,0.3746901402737811,0.7565482535720185,0.8197708784560985
0,0.2031497516821651,0.6016083508919894,0.8926774857477109,0.7617747946668715,0.1467676226230737,0.40289972600083346,0.7869813669610887,0.7513514015944275
2,0.20244918292388114,0.601704626724557,0.8895022594853281,0.7475224042883474,0.18982272603308234,0.4042893259471124,0.7634466992524304,0.4074701968387618
5,0.21280152997794385,0.6275946799408627,0.9142628184635695,0.7489266328246441,0.1782316189646652,0.390273795975432,0.7674939029830097,0.4119784504796547
13,0.8241120217801722,0.5000841001592577,0.2941008303178004,0.44323456382130655,0.7415354092739658,0.8319980765467806,0.9315131995784883,0.29064811953828706
10,0.8426901405834126,0.5466243501266711,0.31360439792774714,0.4256429810940739,0.7386427353533385,0.8099728378275427,0.9619874352444345,0.9017963782182783
9,0.8631034689357585,0.516654920055649,0.348111343274529,0.44735777479163524,0.6881106493296865,0.7946430019974934,0.9839533392032207,0.11146904338296748
6,0.16429949607517932,0.6172482897196535,0.8707048618458448,0.7493397791869857,0.17530813258063271,0.4201164001922051,0.8072047639002963,0.22574675622855467
12,0.8465436260339106,0.5422374658118462,0.3482848754313887,0.43218335199232144,0.7389672796275423,0.8013148491400238,0.9395445958785505,0.8927812839367918
8,0.8322859661225022,0.5015482756321279,0.31094223954864725,0.4553771696215583,0.698704572294437,0.8369800706362246,0.9383837345671286,0.3135421281822065
11,0.8236832440158369,0.5173837763886613,0.34398931686707185,0.4693871215359362,0.7448678555168604,0.8279049122564119,0.9607575392589351,0.34500715384720915
7,0.19171585728040058,0.6027090837218331,0.8963684589545836,0.7406831636272042,0.13952056981552366,0.36638870924746836,0.7607723890399372,0.6522303575067787
14,0.049519342616838845,0.10485627425247704,0.5894922673869996,0.9904184698667272,0.9475160297680313,0.026241977382682732,0.06817714622137236,0.041237581850665575
3,0.1653862676960597,0.618522212549276,0.8761442725542992,0.7679695044640733,0.1974644046746638,0.3846959319849271,0.7942093070964973,0.8282197409864721
1,0.15567800129729195,0.59633275876138,0.8864374231662406,0.762737660548219,0.1646016836826618,0.36907615771991364,0.8023062555420865,0.9940191088512429
