ObjectID,Dimension_1,Dimension_2,Dimension_3,Dimension_4,Dimension_5,Dimension_6,Dimension_7,Dimension_8
0,0.005491746158570034,0.5195740544454369,0.844793597679009,0.7143939514401463,0.3478413826096091,0.16945288776236397,0.5503831914420141,0.8454360823058111
1,0.021476078850139777,0.5685491177260467,0.803406907389897,0.7155796388019634,0.3401637097463448,0.21223829157986526,0.5904157748220207,0.8473351612403702
2,0.05683652667721287,0.5193638504035644,0.7981354406197513,0.7421748846116603,0.3012239360154912,0.18658483710179935,0.5493956381436843,0.8227393473306311
3,0.014113726073349441,0.5622632763078159,0.8178392414483895,0.7255762014403068,0.31273744281516974,0.1740979374474677,0.5476029278670957,0.8305924644169606
4,0.04703791846007411,0.5591190993139791,0.8396082917834081,0.7050319172314198,0.33183860415362004,0.2262712503476019,0.5784885442253482,0.8774385527414288
5,0.9284721975469662,0.01867173439861284,0.9794478481526756,0.25997563316423533,0.7303086113882379,0.542489896465294,0.7861832059645099,0.1893115708663648
6,0.9705483491015732,0.0464221642376621,0.9562504134010985,0.23460762489774797,0.7025281081251199,0.5845305665533673,0.7908524588976339,0.16297850205507228
7,0.9282099012838735,0.017179165317110338,0.9339515995009672,0.2598970060295095,0.7520440547803424,0.5432972702008929,0.7515281372498815,0.13878676444348384
8,0.9317319034411152,0.017629036363136487,0.9549935305187708,0.24562000535519884,0.708103665630306,0.5529300542451596,0.7756906185252386,0.14487581642586309
9,0.9358683302454887,0.9758059640589491,0.087633600298355,0.17364663734594807,0.12123417707927223,0.11788382445268929,0.1446451322396301,0.9705237878797615
