ObjectID,Dimension_1,Dimension_2,Dimension_3,Dimension_8,Dimension_4,Dimension_5,Dimension_6,Dimension_7
4,0.046208531777307764,0.1362917738409674,0.3727240709563768,0.19494036349373234,0.7078642671550051,0.7284422329621659,0.6602662630739954,0.1312583429391817
27,0.6579790215999212,0.8749071783331167,0.6889452980081567,0.2253333210248426,0.840944799277983,0.9103720507566232,0.8469855304374525,0.850147105175012
21,0.6841891858463616,0.871454084351911,0.6976721772232841,0.4732641980341724,0.8615685777935725,0.928388886871345,0.8439309042471038,0.7976536331304764
8,0.0025222759467689376,0.18153854006221187,0.40325634481406275,0.22838881974583902,0.7152491758438093,0.682812034903731,0.6365423701485546,0.12834799646701447
0,0.06144838840561684,0.16171781446427336,0.3828320896611749,0.20412750583504224,0.7137598948131375,0.73464319409374,0.6240027900900443,0.1827919289442687
14,0.8892162617628672,0.7193538602282293,0.494418046484416,0.0743329092625119,0.06144183902456468,0.07876369558065373,0.382104716421695,0.9482294968118292
3,0.005840865148044916,0.13744109476378058,0.3924301802038399,0.9910483680467735,0.6912647772525169,0.6948454772491739,0.6187531785785311,0.15343380342263543
17,0.919286859571779,0.7191437548827685,0.4884614071545916,0.9540813641742653,0.07686998830324554,0.07309523012972757,0.36575962723301847,0.9307190169466998
26,0.6760846167894318,0.8251110265762724,0.7018725026458995,0.23979754835873857,0.8549852995383573,0.9286108090118796,0.897205738817386,0.8322781467045022
18,0.8824444252976752,0.703736102088768,0.4903065961049736,0.32874339036770006,0.10413368247149213,0.09898208247914024,0.4099291858555918,0.9259340317942799
16,0.9116635553163017,0.7496858142613533,0.4873019457024024,0.6439494430602073,0.09286431854892369,0.07456886702413752,0.409056102629989,0.9192074020409451
9,0.0010099125381170197,0.16363691840645722,0.3951108891071578,0.8744672580984024,0.7219384714956107,0.7079247301968064,0.6770622011819303,0.13858350098152686
29,0.6762507593644579,0.8838586276177457,0.7124811167123969,0.5709091044220319,0.8651183726617085,0.9116819656344116,0.8575175010481166,0.8086841415700566
23,0.6806211068578871,0.8784435236438811,0.7068064115893189,0.38938050583012807,0.8377943137005632,0.8856728118066953,0.8595791264665946,0.8371143374591846
15,0.9143023351342436,0.7263593655925182,0.46473030036647556,0.9722139848255072,0.07415533032881257,0.10923457082899922,0.37240272024994137,0.9511825054977658
1,0.03287173129945331,0.15109995030559134,0.38052750795639173,0.25678837261961474,0.7000473510923868,0.6935432880536269,0.6754470719391596,0.14046218231493543
19,0.9123898317555517,0.745646595333018,0.5021591405049682,0.508818860397505,0.04916604384911107,0.09422713321334827,0.3891968744827328,0.9553577832085718
7,0.038056319192513885,0.1606472582375541,0.3640915680183796,0.06643775497633775,0.7416719345767339,0.7036068861413796,0.6700359544157474,0.16630539253694715
20,0.8950327371141495,0.7113294610383147,0.49263083368955646,0.39209078738363257,0.08605357297873117,0.082872953050903,0.36573973389376907,0.9186683385144291
10,0.03261199233316057,0.1433045502859891,0.3889171580069978,0.5472585460105847,0.7068376430844211,0.7290426062957437,0.6388063437015031,0.15296894757947507
30,0.69729513822479,0.8588515284993634,0.6991707419581333,0.09612428519515237,0.8410683925812242,0.9204299411539804,0.8446602552334249,0.8436168186367448
5,0.029055233917273375,0.18093533304788745,0.3734377955610509,0.8750383285959464,0.7364326186043381,0.699077665396672,0.6324469912736652,0.17832126026639886
6,0.010191394781589086,0.14288559754973404,0.38457503022271494,0.9494829831786827,0.6842958060502072,0.7346006706754001,0.639951787136222,0.1577440633696542
13,0.9011809010060253,0.7366576771999348,0.5129791456102687,0.958162396216595,0.07508237595237874,0.06044638395248088,0.3534477775459481,0.9316913453632214
25,0.6933117650957424,0.8433079890212923,0.7038886276193557,0.3510182139557627,0.8686754967718727,0.8828840135583352,0.8631409694961218,0.806860912647305
31,0.2494900695948918,0.05772834551627119,0.10049791013939513,0.40855539857360545,0.1971007403393103,0.1094711425443386,0.09558494113274693,0.09429964798609108
12,0.0454631598564766,0.18242888710586397,0.38061547088775377,0.2888166956547058,0.7427144391683759,0.7125907441050089,0.6325469725502965,0.1381157458432095
28,0.6962321157725896,0.8799018343216994,0.7312920460924727,0.15349777163268863,0.8590382930546999,0.9350760356731865,0.8623014985087771,0.8199308084502276
2,0.023115903397861095,0.1877375080604691,0.35772413026762184,0.3152737104116583,0.6944756248912615,0.7013914002405155,0.6751735978017612,0.16617791190516218
22,0.6660404100205082,0.8512976677151097,0.6810711478941839,0.2292564042042715,0.8476035793911417,0.9137399640918319,0.8706239696791226,0.8047017730646635
24,0.6734570439702963,0.8425564828723218,0.7142196351104751,0.025704116983873537,0.8450399646541802,0.9178142563320699,0.8782656850778874,0.7946673009062534
11,0.038637317795020894,0.1775985388550308,0.40191924322462,0.19936252482039285,0.7227799461417935,0.6788971982074471,0.6425174404397606,0.18236280496005847
